Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
0,2007-10-05,32.5454216003418,35.4246891776911,26.90011689528922,29.051480080819935,855215656
1,2007-10-08,30.879337310791016,33.64537507515086,30.68522855070953,33.64537507515086,126671715
2,2007-10-09,32.9821662902832,33.27332717981798,29.229413747593593,30.89550520408466,116725709
3,2007-10-10,33.28950119018555,33.96887948189164,32.99834031886197,33.839472943776364,67931378
4,2007-10-11,37.00990295410156,38.8215770162382,32.99834178018052,38.8215770162382,106320954
5,2007-10-12,36.76727294921875,38.14220367043771,35.90996408298535,36.233477193860395,99410791
6,2007-10-15,37.25253677368164,37.7539846496586,36.929023713539095,37.52752375238814,41814972
7,2007-10-16,41.053829193115234,41.70085992138771,37.04226676056635,37.30107554153278,138614496
8,2007-10-17,44.2566032409668,45.291842522417625,34.324747177407374,36.88050196948446,204876259
9,2007-10-18,42.7037353515625,48.349040354809915,40.87588732647553,44.96832691239553,146617799
10,2007-10-19,42.55815124511719,44.28894686329784,40.43913822901563,41.73319037151684,110266491
11,2007-10-22,41.99201583862305,43.30224226481981,40.600906741698125,41.70085489812684,72253405
12,2007-10-23,44.9845085144043,45.38889989435569,43.02725160268316,43.02725160268316,74594921
13,2007-10-24,44.28895568847656,46.42414302665404,43.78750775058117,45.93886898859224,63055170
14,2007-10-25,44.191898345947266,45.2271420031388,39.0318627353921,42.78461550780248,34522489
15,2007-10-26,45.518314361572266,46.24621900705005,43.75516579846587,44.96834020759551,62370025
16,2007-10-29,46.4403076171875,47.55642934393309,46.03591632313857,46.26237720297652,43657697
17,2007-10-30,47.4755744934082,48.753448979915206,45.680073629786314,47.07118299997019,79921711
18,2007-10-31,48.462257385253906,49.52985288665379,47.55642276702894,47.7181792622781,44655368
19,2007-11-01,47.378501892089844,50.03131094777779,46.99028882233137,49.65927177711994,50632492
20,2007-11-02,48.235816955566406,48.52698228060946,45.291846618226735,45.66389022513117,32001693
21,2007-11-05,49.22252655029297,50.306296226989275,47.91229596637288,48.20346124363972,38833135
22,2007-11-06,49.86957550048828,53.02382941770723,49.19019685611688,50.079858217383766,81880281
23,2007-11-07,49.14165496826172,51.503298977271584,48.041711243352026,50.79157274959002,33593141
24,2007-11-08,48.300533294677734,49.61076441798121,47.23294146495967,47.87996788004425,27990521
25,2007-11-12,49.46516036987305,50.33864740840499,45.56682526878262,46.844703642204024,35153735
